[RTREE] This is node 63 at depth: 10, the bounding box is (-95.9953,31.3496), (-50.273,51.5309), leaf: 0, edge: 1
[RTREE] This is node 663 at depth: 6, the bounding box is (-5.41604,-58.6104), (80.7094,68.2556), leaf: 0, edge: 0
[RTREE] This is node 1494 at depth: 10, the bounding box is (66.6516,-40.4718), (87.0879,71.2983), leaf: 0, edge: 1
[RTREE] This is node 1536 at depth: 9, the bounding box is (66.6516,-40.4718), (87.0879,71.2983), leaf: 1, edge: 0
[RTREE] This is node 1642 at depth: 8, the bounding box is (66.6516,-40.4718), (87.0879,71.2983), leaf: 0, edge: 0
[RTREE] This is node 1689 at depth: 7, the bounding box is (66.6516,-40.4718), (87.0879,71.2983), leaf: 0, edge: 0
[RTREE] This is node 1878 at depth: 6, the bounding box is (66.6516,-40.4718), (87.0879,71.2983), leaf: 0, edge: 0
[RTREE] This is node 778 at depth: 5, the bounding box is (-44.7369,-97.3348), (99.965,98.1099), leaf: 0, edge: 0
[RTREE] This is node 192 at depth: 10, the bounding box is (-11.6661,19.2413), (75.996,70.3761), leaf: 0, edge: 1
[RTREE] This is node 259 at depth: 10, the bounding box is (14.7092,38.7173), (86.0123,60.7626), leaf: 0, edge: 1
[RTREE] This is node 1133 at depth: 10, the bounding box is (40.1579,49.5461), (59.8692,85.7124), leaf: 0, edge: 1
[RTREE] This is node 1388 at depth: 10, the bounding box is (39.049,31.6949), (73.5101,58.5734), leaf: 0, edge: 1
[RTREE] This is node 206 at depth: 9, the bounding box is (-11.6661,19.2413), (86.0123,85.7124), leaf: 1, edge: 0
[RTREE] This is node 195 at depth: 10, the bounding box is (-3.08658,22.1509), (2.66609,69.8852), leaf: 0, edge: 1
[RTREE] This is node 1134 at depth: 9, the bounding box is (-3.08658,22.1509), (2.66609,69.8852), leaf: 1, edge: 0
[RTREE] This is node 269 at depth: 10, the bounding box is (-28.5355,45.5917), (83.556,86.1737), leaf: 0, edge: 1
[RTREE] This is node 402 at depth: 10, the bounding box is (36.5573,52.7784), (83.5018,68.0122), leaf: 0, edge: 1
[RTREE] This is node 1389 at depth: 9, the bounding box is (-28.5355,45.5917), (83.556,86.1737), leaf: 1, edge: 0
[RTREE] This is node 1100 at depth: 8, the bounding box is (-28.5355,19.2413), (86.0123,86.1737), leaf: 0, edge: 0
[RTREE] This is node 1147 at depth: 7, the bounding box is (-28.5355,19.2413), (86.0123,86.1737), leaf: 0, edge: 0
[RTREE] This is node 1394 at depth: 6, the bounding box is (-28.5355,19.2413), (86.0123,86.1737), leaf: 0, edge: 0
[RTREE] This is node 1442 at depth: 5, the bounding box is (-28.5355,19.2413), (86.0123,86.1737), leaf: 0, edge: 0
[RTREE] This is node 15 at depth: 10, the bounding box is (-21.7994,20.4088), (59.6931,24.1765), leaf: 0, edge: 1
[RTREE] This is node 110 at depth: 9, the bounding box is (-21.7994,20.4088), (59.6931,24.1765), leaf: 1, edge: 0
[RTREE] This is node 393 at depth: 8, the bounding box is (-21.7994,20.4088), (59.6931,24.1765), leaf: 0, edge: 0
[RTREE] This is node 1440 at depth: 7, the bounding box is (-21.7994,20.4088), (59.6931,24.1765), leaf: 0, edge: 0
[RTREE] This is node 1660 at depth: 6, the bounding box is (-21.7994,20.4088), (59.6931,24.1765), leaf: 0, edge: 0
[RTREE] This is node 1703 at depth: 5, the bounding box is (-21.7994,20.4088), (59.6931,24.1765), leaf: 0, edge: 0
[RTREE] This is node 1165 at depth: 4, the bounding box is (-44.7369,-97.3348), (99.965,98.1099), leaf: 0, edge: 0
[RTREE] This is node 106 at depth: 10, the bounding box is (44.2674,-25.9499), (84.8269,55.0878), leaf: 0, edge: 1
[RTREE] This is node 135 at depth: 9, the bounding box is (44.2674,-25.9499), (84.8269,55.0878), leaf: 1, edge: 0
[RTREE] This is node 384 at depth: 8, the bounding box is (44.2674,-25.9499), (84.8269,55.0878), leaf: 0, edge: 0
[RTREE] This is node 399 at depth: 7, the bounding box is (44.2674,-25.9499), (84.8269,55.0878), leaf: 0, edge: 0
[RTREE] This is node 1102 at depth: 6, the bounding box is (44.2674,-25.9499), (84.8269,55.0878), leaf: 0, edge: 0
[RTREE] This is node 1418 at depth: 5, the bounding box is (44.2674,-25.9499), (84.8269,55.0878), leaf: 0, edge: 0
[RTREE] This is node 1662 at depth: 4, the bounding box is (44.2674,-25.9499), (84.8269,55.0878), leaf: 0, edge: 0
[RTREE] This is node 1126 at depth: 10, the bounding box is (4.01764,49.1311), (99.1981,81.8219), leaf: 0, edge: 1
[RTREE] This is node 1132 at depth: 10, the bounding box is (32.6751,58.4892), (87.6091,81.7123), leaf: 0, edge: 1
[RTREE] This is node 1145 at depth: 9, the bounding box is (4.01764,49.1311), (99.1981,81.8219), leaf: 1, edge: 0
[RTREE] This is node 1384 at depth: 8, the bounding box is (4.01764,49.1311), (99.1981,81.8219), leaf: 0, edge: 0
[RTREE] This is node 1098 at depth: 10, the bounding box is (52.8613,0.0738206), (61.4781,74.7496), leaf: 0, edge: 1
[RTREE] This is node 1674 at depth: 10, the bounding box is (44.0182,5.89809), (87.6342,47.3016), leaf: 0, edge: 1
[RTREE] This is node 1736 at depth: 10, the bounding box is (31.5437,27.5154), (74.9133,28.9521), leaf: 0, edge: 1
[RTREE] This is node 1156 at depth: 9, the bounding box is (31.5437,0.0738206), (87.6342,74.7496), leaf: 1, edge: 0
[RTREE] This is node 1392 at depth: 8, the bounding box is (31.5437,0.0738206), (87.6342,74.7496), leaf: 0, edge: 0
[RTREE] This is node 1425 at depth: 7, the bounding box is (4.01764,0.0738206), (99.1981,81.8219), leaf: 0, edge: 0
[RTREE] This is node 1644 at depth: 6, the bounding box is (4.01764,0.0738206), (99.1981,81.8219), leaf: 0, edge: 0
[RTREE] This is node 1691 at depth: 5, the bounding box is (4.01764,0.0738206), (99.1981,81.8219), leaf: 0, edge: 0
[RTREE] This is node 1747 at depth: 4, the bounding box is (4.01764,0.0738206), (99.1981,81.8219), leaf: 0, edge: 0
[RTREE] This is node 480 at depth: 10, the bounding box is (21.7028,-88.3725), (74.9341,94.2477), leaf: 0, edge: 1
[RTREE] This is node 699 at depth: 10, the bounding box is (23.6291,-39.4371), (35.7027,-30.2494), leaf: 0, edge: 1
[RTREE] This is node 760 at depth: 10, the bounding box is (47.422,-76.6717), (60.0853,-42.4967), leaf: 0, edge: 1
[RTREE] This is node 938 at depth: 10, the bounding box is (32.9678,42.3393), (73.3463,65.3695), leaf: 0, edge: 1
[RTREE] This is node 520 at depth: 9, the bounding box is (21.7028,-88.3725), (74.9341,94.2477), leaf: 1, edge: 0
[RTREE] This is node 369 at depth: 10, the bounding box is (18.6001,-77.3759), (76.5316,81.9829), leaf: 0, edge: 1
[RTREE] This is node 464 at depth: 10, the bounding box is (60.1703,-72.2956), (73.1301,81.6532), leaf: 0, edge: 1
[RTREE] This is node 952 at depth: 10, the bounding box is (19.0237,-1.59789), (20.0404,58.9534), leaf: 0, edge: 1
[RTREE] This is node 481 at depth: 9, the bounding box is (18.6001,-77.3759), (76.5316,81.9829), leaf: 1, edge: 0
[RTREE] This is node 573 at depth: 8, the bounding box is (18.6001,-88.3725), (76.5316,94.2477), leaf: 0, edge: 0
[RTREE] This is node 642 at depth: 7, the bounding box is (18.6001,-88.3725), (76.5316,94.2477), leaf: 0, edge: 0
[RTREE] This is node 777 at depth: 6, the bounding box is (18.6001,-88.3725), (76.5316,94.2477), leaf: 0, edge: 0
[RTREE] This is node 962 at depth: 5, the bounding box is (18.6001,-88.3725), (76.5316,94.2477), leaf: 0, edge: 0
[RTREE] This is node 347 at depth: 10, the bounding box is (-12.0929,-43.3247), (-6.43757,87.7175), leaf: 0, edge: 1
[RTREE] This is node 907 at depth: 9, the bounding box is (-12.0929,-43.3247), (-6.43757,87.7175), leaf: 1, edge: 0
[RTREE] This is node 396 at depth: 10, the bounding box is (0.858446,-37.9211), (17.4527,66.2352), leaf: 0, edge: 1
[RTREE] This is node 1112 at depth: 9, the bounding box is (0.858446,-37.9211), (17.4527,66.2352), leaf: 1, edge: 0
[RTREE] This is node 1157 at depth: 8, the bounding box is (-12.0929,-43.3247), (17.4527,87.7175), leaf: 0, edge: 0
[RTREE] This is node 1643 at depth: 7, the bounding box is (-12.0929,-43.3247), (17.4527,87.7175), leaf: 0, edge: 0
[RTREE] This is node 1702 at depth: 6, the bounding box is (-12.0929,-43.3247), (17.4527,87.7175), leaf: 0, edge: 0
[RTREE] This is node 1879 at depth: 5, the bounding box is (-12.0929,-43.3247), (17.4527,87.7175), leaf: 0, edge: 0
[RTREE] This is node 1880 at depth: 4, the bounding box is (-12.0929,-88.3725), (76.5316,94.2477), leaf: 0, edge: 0
[RTREE] This is node 1367 at depth: 3, the bounding box is (-47.9327,-97.6665), (99.965,98.4544), leaf: 0, edge: 0
[RTREE] This is node 1168 at depth: 10, the bounding box is (17.68,72.9883), (99.0476,80.8993), leaf: 0, edge: 1
[RTREE] This is node 1220 at depth: 9, the bounding box is (17.68,72.9883), (99.0476,80.8993), leaf: 1, edge: 0
[RTREE] This is node 1227 at depth: 8, the bounding box is (17.68,72.9883), (99.0476,80.8993), leaf: 0, edge: 0
[RTREE] This is node 1232 at depth: 7, the bounding box is (17.68,72.9883), (99.0476,80.8993), leaf: 0, edge: 0
[RTREE] This is node 1253 at depth: 6, the bounding box is (17.68,72.9883), (99.0476,80.8993), leaf: 0, edge: 0
[RTREE] This is node 1298 at depth: 5, the bounding box is (17.68,72.9883), (99.0476,80.8993), leaf: 0, edge: 0
[RTREE] This is node 1339 at depth: 4, the bounding box is (17.68,72.9883), (99.0476,80.8993), leaf: 0, edge: 0
[RTREE] This is node 1881 at depth: 3, the bounding box is (17.68,72.9883), (99.0476,80.8993), leaf: 0, edge: 0
[RTREE] This is node 1762 at depth: 2, the bounding box is (-98.6633,-98.97), (99.965,98.4544), leaf: 0, edge: 0
[RTREE] This is node 910 at depth: 10, the bounding box is (-43.3362,-73.296), (68.3755,-51.7073), leaf: 0, edge: 1
[RTREE] This is node 927 at depth: 9, the bounding box is (-43.3362,-73.296), (68.3755,-51.7073), leaf: 1, edge: 0
[RTREE] This is node 937 at depth: 8, the bounding box is (-43.3362,-73.296), (68.3755,-51.7073), leaf: 0, edge: 0
[RTREE] This is node 911 at depth: 10, the bounding box is (-86.8117,-69.4967), (71.0516,16.627), leaf: 0, edge: 1
[RTREE] This is node 919 at depth: 10, the bounding box is (-67.5984,-22.6046), (29.7232,-12.3285), leaf: 0, edge: 1
[RTREE] This is node 1828 at depth: 10, the bounding box is (-34.3322,3.87982), (52.277,12.216), leaf: 0, edge: 1
[RTREE] This is node 920 at depth: 9, the bounding box is (-86.8117,-69.4967), (71.0516,16.627), leaf: 1, edge: 0
[RTREE] This is node 933 at depth: 8, the bounding box is (-86.8117,-69.4967), (71.0516,16.627), leaf: 0, edge: 0
[RTREE] This is node 960 at depth: 7, the bounding box is (-86.8117,-73.296), (71.0516,16.627), leaf: 0, edge: 0
[RTREE] This is node 1163 at depth: 6, the bounding box is (-86.8117,-73.296), (71.0516,16.627), leaf: 0, edge: 0
[RTREE] This is node 295 at depth: 10, the bounding box is (-45.5717,-71.2936), (10.1883,-70.713), leaf: 0, edge: 1
[RTREE] This is node 826 at depth: 9, the bounding box is (-45.5717,-71.2936), (10.1883,-70.713), leaf: 1, edge: 0
[RTREE] This is node 902 at depth: 8, the bounding box is (-45.5717,-71.2936), (10.1883,-70.713), leaf: 0, edge: 0
[RTREE] This is node 922 at depth: 7, the bounding box is (-45.5717,-71.2936), (10.1883,-70.713), leaf: 0, edge: 0
[RTREE] This is node 930 at depth: 6, the bounding box is (-45.5717,-71.2936), (10.1883,-70.713), leaf: 0, edge: 0
[RTREE] This is node 1176 at depth: 5, the bounding box is (-86.8117,-73.296), (71.0516,16.627), leaf: 0, edge: 0
[RTREE] This is node 1860 at depth: 4, the bounding box is (-86.8117,-73.296), (71.0516,16.627), leaf: 0, edge: 0
[RTREE] This is node 1357 at depth: 10, the bounding box is (-73.3185,-4.75133), (-6.88384,64.4642), leaf: 0, edge: 1
[RTREE] This is node 1344 at depth: 10, the bounding box is (-74.5977,-89.0632), (-12.2897,44.0788), leaf: 0, edge: 1
[RTREE] This is node 1805 at depth: 9, the bounding box is (-74.5977,-89.0632), (-6.88384,64.4642), leaf: 1, edge: 0
[RTREE] This is node 1812 at depth: 8, the bounding box is (-74.5977,-89.0632), (-6.88384,64.4642), leaf: 0, edge: 0
[RTREE] This is node 534 at depth: 10, the bounding box is (-19.2876,-98.6519), (17.9043,-62.6153), leaf: 0, edge: 1
[RTREE] This is node 539 at depth: 10, the bounding box is (-50.4313,-91.9341), (-2.38886,61.9312), leaf: 0, edge: 1
[RTREE] This is node 572 at depth: 9, the bounding box is (-50.4313,-98.6519), (17.9043,61.9312), leaf: 1, edge: 0
[RTREE] This is node 1816 at depth: 8, the bounding box is (-50.4313,-98.6519), (17.9043,61.9312), leaf: 0, edge: 0
[RTREE] This is node 1817 at depth: 7, the bounding box is (-74.5977,-98.6519), (17.9043,64.4642), leaf: 0, edge: 0
[RTREE] This is node 1858 at depth: 6, the bounding box is (-74.5977,-98.6519), (17.9043,64.4642), leaf: 0, edge: 0
[RTREE] This is node 1810 at depth: 10, the bounding box is (-61.788,71.9189), (-47.936,79.9348), leaf: 0, edge: 1
[RTREE] This is node 1800 at depth: 10, the bounding box is (-72.9233,-16.1993), (69.1199,94.7304), leaf: 0, edge: 1
[RTREE] This is node 1853 at depth: 10, the bounding box is (-21.4678,65.064), (-18.5612,86.6718), leaf: 0, edge: 1
[RTREE] This is node 1815 at depth: 9, the bounding box is (-72.9233,-16.1993), (69.1199,94.7304), leaf: 1, edge: 0
[RTREE] This is node 1325 at depth: 10, the bounding box is (-10.186,-57.1064), (41.7503,93.3226), leaf: 0, edge: 1
[RTREE] This is node 1811 at depth: 9, the bounding box is (-10.186,-57.1064), (41.7503,93.3226), leaf: 1, edge: 0
[RTREE] This is node 1856 at depth: 8, the bounding box is (-72.9233,-57.1064), (69.1199,94.7304), leaf: 0, edge: 0
[RTREE] This is node 1420 at depth: 10, the bounding box is (-89.2244,-68.5973), (91.2657,-52.3353), leaf: 0, edge: 1
[RTREE] This is node 1400 at depth: 10, the bounding box is (-60.3303,-51.0802), (95.6942,19.8766), leaf: 0, edge: 1
[RTREE] This is node 1796 at depth: 9, the bounding box is (-89.2244,-68.5973), (95.6942,19.8766), leaf: 1, edge: 0
[RTREE] This is node 1843 at depth: 10, the bounding box is (-85.9133,-37.14), (78.7252,74.824), leaf: 0, edge: 1
[RTREE] This is node 1838 at depth: 10, the bounding box is (-91.8366,-50.7734), (86.8714,83.4412), leaf: 0, edge: 1
[RTREE] This is node 474 at depth: 10, the bounding box is (-62.7143,-64.6589), (98.0755,84.8519), leaf: 0, edge: 1
[RTREE] This is node 1501 at depth: 10, the bounding box is (-96.8513,46.3665), (91.5992,73.3117), leaf: 0, edge: 1
[RTREE] This is node 1831 at depth: 10, the bounding box is (-93.2869,14.6002), (-66.9174,83.4935), leaf: 0, edge: 1
[RTREE] This is node 1421 at depth: 9, the bounding box is (-96.8513,-64.6589), (98.0755,84.8519), leaf: 1, edge: 0
[RTREE] This is node 1845 at depth: 8, the bounding box is (-96.8513,-68.5973), (98.0755,84.8519), leaf: 0, edge: 0
[RTREE] This is node 1381 at depth: 10, the bounding box is (-92.6781,8.15643), (-22.2367,83.2607), leaf: 0, edge: 1
[RTREE] This is node 1503 at depth: 10, the bounding box is (-91.4478,-5.11383), (-48.4981,84.1051), leaf: 0, edge: 1
[RTREE] This is node 1822 at depth: 9, the bounding box is (-92.6781,-5.11383), (-22.2367,84.1051), leaf: 1, edge: 0
[RTREE] This is node 1313 at depth: 10, the bounding box is (2.40465,-20.2658), (62.4875,85.8488), leaf: 0, edge: 1
[RTREE] This is node 1376 at depth: 10, the bounding box is (-77.4007,-37.5567), (92.6459,55.5234), leaf: 0, edge: 1
[RTREE] This is node 1789 at depth: 10, the bounding box is (-59.5131,18.9062), (91.3563,69.7951), leaf: 0, edge: 1
[RTREE] This is node 1795 at depth: 10, the bounding box is (41.7227,19.7442), (76.6777,85.3225), leaf: 0, edge: 1
[RTREE] This is node 774 at depth: 9, the bounding box is (-77.4007,-37.5567), (92.6459,85.8488), leaf: 1, edge: 0
[RTREE] This is node 1821 at depth: 10, the bounding box is (33.0624,38.1125), (94.9964,64.1163), leaf: 0, edge: 1
[RTREE] This is node 1839 at depth: 9, the bounding box is (33.0624,38.1125), (94.9964,64.1163), leaf: 1, edge: 0
[RTREE] This is node 1433 at depth: 10, the bounding box is (-95.1035,65.5556), (92.0247,79.4592), leaf: 0, edge: 1
[RTREE] This is node 1844 at depth: 9, the bounding box is (-95.1035,65.5556), (92.0247,79.4592), leaf: 1, edge: 0
[RTREE] This is node 1402 at depth: 8, the bounding box is (-95.1035,-37.5567), (94.9964,85.8488), leaf: 0, edge: 0
[RTREE] This is node 519 at depth: 10, the bounding box is (-70.4446,-92.572), (57.026,48.8363), leaf: 0, edge: 1
[RTREE] This is node 694 at depth: 10, the bounding box is (-50.0725,-83.322), (48.0006,-13.0364), leaf: 0, edge: 1
[RTREE] This is node 741 at depth: 10, the bounding box is (-8.86279,-76.8319), (79.4257,40.2292), leaf: 0, edge: 1
[RTREE] This is node 1854 at depth: 10, the bounding box is (58.7159,-74.9082), (85.3331,-70.1277), leaf: 0, edge: 1
[RTREE] This is node 535 at depth: 9, the bounding box is (-70.4446,-92.572), (85.3331,48.8363), leaf: 1, edge: 0
[RTREE] This is node 1814 at depth: 10, the bounding box is (-0.321056,-71.2583), (57.2414,65.3368), leaf: 0, edge: 1
[RTREE] This is node 1397 at depth: 10, the bounding box is (-60.352,-96.8742), (17.3349,80.4525), leaf: 0, edge: 1
[RTREE] This is node 1122 at depth: 10, the bounding box is (-54.4455,-97.732), (65.6851,94.7205), leaf: 0, edge: 1
[RTREE] This is node 1474 at depth: 10, the bounding box is (-76.5181,-84.8796), (60.7896,82.495), leaf: 0, edge: 1
[RTREE] This is node 1311 at depth: 9, the bounding box is (-76.5181,-97.732), (65.6851,94.7205), leaf: 1, edge: 0
[RTREE] This is node 710 at depth: 10, the bounding box is (-64.4018,-81.3181), (75.9874,11.6901), leaf: 0, edge: 1
[RTREE] This is node 1511 at depth: 9, the bounding box is (-64.4018,-81.3181), (75.9874,11.6901), leaf: 1, edge: 0
[RTREE] This is node 1804 at depth: 10, the bounding box is (21.775,-80.2101), (89.3598,23.3819), leaf: 0, edge: 1
[RTREE] This is node 1849 at depth: 10, the bounding box is (4.23631,-87.7523), (79.165,-2.09866), leaf: 0, edge: 1
[RTREE] This is node 1855 at depth: 9, the bounding box is (4.23631,-87.7523), (89.3598,23.3819), leaf: 1, edge: 0
[RTREE] This is node 690 at depth: 8, the bounding box is (-76.5181,-97.732), (89.3598,94.7205), leaf: 0, edge: 0
[RTREE] This is node 1377 at depth: 10, the bounding box is (-84.9597,-57.1423), (-83.8238,82.5146), leaf: 0, edge: 1
[RTREE] This is node 1401 at depth: 9, the bounding box is (-84.9597,-57.1423), (-83.8238,82.5146), leaf: 1, edge: 0
[RTREE] This is node 1787 at depth: 10, the bounding box is (-74.3895,-16.2718), (88.0621,90.8942), leaf: 0, edge: 1
[RTREE] This is node 773 at depth: 10, the bounding box is (-0.91054,-65.3128), (67.0731,58.1343), leaf: 0, edge: 1
[RTREE] This is node 706 at depth: 10, the bounding box is (-58.8495,-46.9592), (84.2225,79.1079), leaf: 0, edge: 1
[RTREE] This is node 489 at depth: 10, the bounding box is (-51.8912,-67.6466), (95.0678,81.32), leaf: 0, edge: 1
[RTREE] This is node 762 at depth: 10, the bounding box is (-40.9551,-49.6334), (44.6668,52.2902), leaf: 0, edge: 1
[RTREE] This is node 90 at depth: 9, the bounding box is (-74.3895,-67.6466), (95.0678,90.8942), leaf: 1, edge: 0
[RTREE] This is node 491 at depth: 10, the bounding box is (-59.568,-37.9367), (52.7336,89.3973), leaf: 0, edge: 1
[RTREE] This is node 1345 at depth: 10, the bounding box is (-17.2004,40.5192), (35.3334,66.0288), leaf: 0, edge: 1
[RTREE] This is node 1351 at depth: 9, the bounding box is (-59.568,-37.9367), (52.7336,89.3973), leaf: 1, edge: 0
[RTREE] This is node 1354 at depth: 10, the bounding box is (23.5761,25.7186), (72.9424,48.9785), leaf: 0, edge: 1
[RTREE] This is node 1355 at depth: 10, the bounding box is (-30.2026,-39.3473), (59.9153,52.597), leaf: 0, edge: 1
[RTREE] This is node 1378 at depth: 9, the bounding box is (-30.2026,-39.3473), (72.9424,52.597), leaf: 1, edge: 0
[RTREE] This is node 1447 at depth: 10, the bounding box is (-55.471,-55.4681), (92.036,-48.546), leaf: 0, edge: 1
[RTREE] This is node 1788 at depth: 9, the bounding box is (-55.471,-55.4681), (92.036,-48.546), leaf: 1, edge: 0
[RTREE] This is node 739 at depth: 8, the bounding box is (-84.9597,-67.6466), (95.0678,90.8942), leaf: 0, edge: 0
[RTREE] This is node 1197 at depth: 7, the bounding box is (-96.8513,-97.732), (98.0755,94.7304), leaf: 0, edge: 0
[RTREE] This is node 728 at depth: 10, the bounding box is (-52.7396,-80.0188), (32.0309,2.94007), leaf: 0, edge: 1
[RTREE] This is node 876 at depth: 9, the bounding box is (-52.7396,-80.0188), (32.0309,2.94007), leaf: 1, edge: 0
[RTREE] This is node 636 at depth: 10, the bounding box is (-16.017,-39.1716), (17.7084,-37.9493), leaf: 0, edge: 1
[RTREE] This is node 722 at depth: 9, the bounding box is (-16.017,-39.1716), (17.7084,-37.9493), leaf: 1, edge: 0
[RTREE] This is node 1359 at depth: 8, the bounding box is (-52.7396,-80.0188), (32.0309,2.94007), leaf: 0, edge: 0
[RTREE] This is node 1513 at depth: 7, the bounding box is (-52.7396,-80.0188), (32.0309,2.94007), leaf: 0, edge: 0
[RTREE] This is node 363 at depth: 10, the bounding box is (-20.3679,-7.17279), (33.3803,40.8259), leaf: 0, edge: 1
[RTREE] This is node 1140 at depth: 9, the bounding box is (-20.3679,-7.17279), (33.3803,40.8259), leaf: 1, edge: 0
[RTREE] This is node 1323 at depth: 8, the bounding box is (-20.3679,-7.17279), (33.3803,40.8259), leaf: 0, edge: 0
[RTREE] This is node 1585 at depth: 7, the bounding box is (-20.3679,-7.17279), (33.3803,40.8259), leaf: 0, edge: 0
[RTREE] This is node 1350 at depth: 10, the bounding box is (-70.0317,53.087), (61.9569,71.0804), leaf: 0, edge: 1
[RTREE] This is node 1329 at depth: 10, the bounding box is (17.0565,60.5822), (61.3761,88.662), leaf: 0, edge: 1
[RTREE] This is node 1356 at depth: 9, the bounding box is (-70.0317,53.087), (61.9569,88.662), leaf: 1, edge: 0
[RTREE] This is node 1840 at depth: 8, the bounding box is (-70.0317,53.087), (61.9569,88.662), leaf: 0, edge: 0
[RTREE] This is node 1846 at depth: 7, the bounding box is (-70.0317,53.087), (61.9569,88.662), leaf: 0, edge: 0
[RTREE] This is node 1349 at depth: 10, the bounding box is (-27.7869,-68.8089), (-25.4174,92.1168), leaf: 0, edge: 1
[RTREE] This is node 1475 at depth: 9, the bounding box is (-27.7869,-68.8089), (-25.4174,92.1168), leaf: 1, edge: 0
[RTREE] This is node 1310 at depth: 10, the bounding box is (1.14333,-57.2259), (9.87179,93.4225), leaf: 0, edge: 1
[RTREE] This is node 1358 at depth: 9, the bounding box is (1.14333,-57.2259), (9.87179,93.4225), leaf: 1, edge: 0
[RTREE] This is node 1512 at depth: 8, the bounding box is (-27.7869,-68.8089), (9.87179,93.4225), leaf: 0, edge: 0
[RTREE] This is node 1857 at depth: 7, the bounding box is (-27.7869,-68.8089), (9.87179,93.4225), leaf: 0, edge: 0
[RTREE] This is node 669 at depth: 6, the bounding box is (-96.8513,-97.732), (98.0755,94.7304), leaf: 0, edge: 0
[RTREE] This is node 665 at depth: 10, the bounding box is (-86.7797,57.9985), (80.6684,70.7405), leaf: 0, edge: 1
[RTREE] This is node 707 at depth: 9, the bounding box is (-86.7797,57.9985), (80.6684,70.7405), leaf: 1, edge: 0
[RTREE] This is node 775 at depth: 8, the bounding box is (-86.7797,57.9985), (80.6684,70.7405), leaf: 0, edge: 0
[RTREE] This is node 1336 at depth: 7, the bounding box is (-86.7797,57.9985), (80.6684,70.7405), leaf: 0, edge: 0
[RTREE] This is node 1114 at depth: 10, the bounding box is (-96.533,-95.6053), (-26.4497,-60.3612), leaf: 0, edge: 1
[RTREE] This is node 1457 at depth: 10, the bounding box is (-85.6004,-67.3355), (-77.9764,26.862), leaf: 0, edge: 1
[RTREE] This is node 1786 at depth: 10, the bounding box is (-86.1436,-5.62392), (-30.7874,21.8972), leaf: 0, edge: 1
[RTREE] This is node 1797 at depth: 10, the bounding box is (-91.9046,-47.2241), (-51.9052,58.1877), leaf: 0, edge: 1
[RTREE] This is node 1316 at depth: 9, the bounding box is (-96.533,-95.6053), (-26.4497,58.1877), leaf: 1, edge: 0
[RTREE] This is node 1303 at depth: 10, the bounding box is (-88.3432,63.2279), (-48.133,67.2806), leaf: 0, edge: 1
[RTREE] This is node 1385 at depth: 10, the bounding box is (-92.5689,12.3529), (-38.6498,27.2661), leaf: 0, edge: 1
[RTREE] This is node 1798 at depth: 9, the bounding box is (-92.5689,12.3529), (-38.6498,67.2806), leaf: 1, edge: 0
[RTREE] This is node 1487 at depth: 8, the bounding box is (-96.533,-95.6053), (-26.4497,67.2806), leaf: 0, edge: 0
[RTREE] This is node 659 at depth: 10, the bounding box is (-97.7212,-68.9381), (71.8692,75.9897), leaf: 0, edge: 1
[RTREE] This is node 1360 at depth: 10, the bounding box is (-80.6965,4.40811), (5.49737,77.6344), leaf: 0, edge: 1
[RTREE] This is node 1463 at depth: 10, the bounding box is (-94.353,-16.6842), (-6.5743,76.3061), leaf: 0, edge: 1
[RTREE] This is node 1485 at depth: 10, the bounding box is (-50.4435,20.2586), (43.2178,66.6997), leaf: 0, edge: 1
[RTREE] This is node 1799 at depth: 10, the bounding box is (-85.4119,-52.7773), (18.8442,32.7006), leaf: 0, edge: 1
[RTREE] This is node 1304 at depth: 9, the bounding box is (-97.7212,-68.9381), (71.8692,77.6344), leaf: 1, edge: 0
[RTREE] This is node 1324 at depth: 10, the bounding box is (-47.6941,24.3414), (60.8394,66.0625), leaf: 0, edge: 1
[RTREE] This is node 1328 at depth: 10, the bounding box is (-42.2804,43.9991), (-25.0847,71.754), leaf: 0, edge: 1
[RTREE] This is node 1399 at depth: 9, the bounding box is (-47.6941,24.3414), (60.8394,71.754), leaf: 1, edge: 0
[RTREE] This is node 1330 at depth: 10, the bounding box is (-84.2303,-71.3118), (21.3653,51.9371), leaf: 0, edge: 1
[RTREE] This is node 1406 at depth: 10, the bounding box is (-63.1109,-84.4868), (5.08314,55.8483), leaf: 0, edge: 1
[RTREE] This is node 1493 at depth: 10, the bounding box is (-58.3174,-76.9644), (-18.0679,46.5596), leaf: 0, edge: 1
[RTREE] This is node 1407 at depth: 9, the bounding box is (-84.2303,-84.4868), (21.3653,55.8483), leaf: 1, edge: 0
[RTREE] This is node 1398 at depth: 10, the bounding box is (-92.9221,-31.5719), (12.4455,27.3168), leaf: 0, edge: 1
[RTREE] This is node 1427 at depth: 10, the bounding box is (-53.3732,-14.5079), (-1.02679,20.1271), leaf: 0, edge: 1
[RTREE] This is node 1435 at depth: 9, the bounding box is (-92.9221,-31.5719), (12.4455,27.3168), leaf: 1, edge: 0
[RTREE] This is node 1403 at depth: 10, the bounding box is (-82.464,-81.1554), (26.1476,67.3805), leaf: 0, edge: 1
[RTREE] This is node 1434 at depth: 10, the bounding box is (-87.3118,-73.3357), (0.633991,47.2608), leaf: 0, edge: 1
[RTREE] This is node 1486 at depth: 9, the bounding box is (-87.3118,-81.1554), (26.1476,67.3805), leaf: 1, edge: 0
